               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,             mdice_c,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  32,            0.037716,           0.0068484,           0.0027075,              0.8671,             0.85864,             0.94019,             0.92884,              0.5312,            0.031599,           0.0037584,            0.001521,           0.0080294,           0.0080294,           0.0080294
                  33,            0.037818,           0.0064759,           0.0024793,             0.87128,             0.92741,             0.94827,              0.9633,             0.57646,             0.03118,           0.0039203,           0.0017695,           0.0079112,           0.0079112,           0.0079112
                  34,            0.037068,           0.0064184,           0.0020263,             0.87439,             0.94016,             0.95076,             0.98096,             0.54802,            0.031253,           0.0038166,           0.0014187,           0.0077907,           0.0077907,           0.0077907
                  35,             0.03675,           0.0066854,            0.001952,             0.87352,             0.92339,             0.93867,             0.96232,             0.55449,            0.030385,           0.0036157,           0.0014794,           0.0076679,           0.0076679,           0.0076679
                  36,            0.036245,           0.0063323,           0.0025289,             0.87377,              0.8595,             0.95629,             0.94735,             0.54564,            0.030817,           0.0037827,           0.0014443,            0.007543,            0.007543,            0.007543
                  37,            0.036053,           0.0062895,           0.0020681,             0.87844,             0.92787,             0.92942,             0.95756,             0.54154,            0.030546,           0.0036036,            0.001524,            0.007416,            0.007416,            0.007416
                  38,            0.035259,           0.0062728,           0.0019231,             0.88008,             0.94788,             0.94944,             0.96748,             0.57932,            0.029308,           0.0036025,           0.0013629,           0.0072872,           0.0072872,           0.0072872
                  39,            0.035124,           0.0063237,           0.0020853,             0.88857,             0.92873,             0.94638,             0.96341,             0.56931,            0.028497,           0.0035077,            0.001454,           0.0071566,           0.0071566,           0.0071566
                  40,            0.035523,            0.006457,           0.0018349,             0.89196,             0.95683,             0.95413,             0.97105,             0.57184,            0.028365,           0.0036961,           0.0013177,           0.0070243,           0.0070243,           0.0070243
                  41,            0.034802,           0.0062164,           0.0017296,             0.89095,             0.96944,             0.94711,             0.97706,             0.60217,            0.027482,           0.0034841,           0.0013199,           0.0068906,           0.0068906,           0.0068906
                  42,            0.035019,           0.0062464,           0.0016075,             0.87289,             0.89486,             0.95274,             0.97436,             0.58314,             0.02937,           0.0036655,           0.0013577,           0.0067555,           0.0067555,           0.0067555
                  43,            0.034379,           0.0062558,           0.0019684,             0.88749,             0.92567,             0.95532,             0.97036,             0.58764,            0.027652,           0.0035117,           0.0014103,           0.0066191,           0.0066191,           0.0066191
                  44,            0.033799,           0.0062714,           0.0015706,              0.8838,             0.94173,             0.94281,             0.95898,             0.55114,            0.029176,           0.0034438,           0.0011886,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033556,           0.0061718,           0.0015853,               0.887,              0.9127,             0.94638,             0.96449,             0.60102,            0.027778,           0.0034199,           0.0012645,           0.0063432,           0.0063432,           0.0063432
                  46,            0.033173,           0.0060252,           0.0014192,             0.89094,             0.95093,             0.96053,             0.97532,             0.60104,            0.027631,           0.0034717,           0.0012124,            0.006204,            0.006204,            0.006204
                  47,            0.032474,           0.0060531,           0.0014627,             0.89054,             0.91936,             0.95408,             0.96053,             0.59695,            0.027178,           0.0034007,           0.0010223,            0.006064,            0.006064,            0.006064
                  48,            0.032958,           0.0061942,           0.0015696,              0.8919,             0.93422,             0.95167,             0.96428,             0.60585,             0.02771,           0.0034684,           0.0011446,           0.0059235,           0.0059235,           0.0059235
                  49,            0.032983,           0.0060841,           0.0013731,             0.88555,             0.92439,             0.95737,             0.97498,              0.5838,            0.028736,           0.0035046,           0.0010844,           0.0057826,           0.0057826,           0.0057826
                  50,             0.03281,            0.006339,           0.0015731,             0.88668,             0.92901,             0.93403,             0.95856,             0.59978,            0.027645,           0.0035501,           0.0011304,           0.0056413,           0.0056413,           0.0056413
                  51,            0.032293,           0.0059434,           0.0013445,              0.8928,             0.95177,             0.94754,              0.9785,             0.60394,             0.02716,           0.0034362,           0.0010769,              0.0055,              0.0055,              0.0055
                  52,            0.032144,           0.0060971,           0.0013598,              0.8833,             0.91603,             0.94085,             0.95248,             0.58914,            0.027516,            0.003425,           0.0010339,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031913,           0.0058975,           0.0013451,             0.89048,             0.95865,              0.9418,             0.96979,             0.59933,            0.027274,           0.0034562,           0.0010411,           0.0052174,           0.0052174,           0.0052174
                  54,            0.032033,            0.006022,           0.0014689,              0.8812,             0.92951,             0.94384,             0.95579,             0.58833,            0.028023,           0.0033433,           0.0010855,           0.0050765,           0.0050765,           0.0050765
                  55,            0.031502,           0.0059962,           0.0014742,             0.89337,             0.95268,             0.96708,             0.97714,             0.58677,            0.027661,           0.0034464,          0.00092396,            0.004936,            0.004936,            0.004936
                  56,            0.031718,           0.0059534,           0.0011987,             0.89307,             0.94763,             0.96958,             0.97677,             0.59561,            0.027069,            0.003371,          0.00094507,            0.004796,            0.004796,            0.004796
                  57,            0.031655,           0.0059406,           0.0012742,             0.88873,             0.95515,              0.9599,              0.9728,             0.60267,            0.027401,            0.003379,           0.0010756,           0.0046568,           0.0046568,           0.0046568
                  58,            0.031058,           0.0057496,           0.0013603,             0.89919,             0.94425,             0.94468,             0.95833,               0.611,            0.026418,           0.0033771,          0.00099702,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030445,           0.0056811,            0.001147,             0.90287,             0.95543,             0.96302,             0.97098,             0.61493,            0.026136,            0.003415,            0.000926,           0.0043809,           0.0043809,           0.0043809
                  60,            0.030882,           0.0058417,           0.0011648,             0.89385,             0.96328,             0.96138,             0.97517,             0.59897,              0.0268,           0.0033666,          0.00086568,           0.0042445,           0.0042445,           0.0042445
                  61,             0.03052,           0.0060894,           0.0011419,             0.89668,             0.94953,             0.96295,             0.96776,             0.62046,            0.026451,           0.0033803,          0.00087707,           0.0041094,           0.0041094,           0.0041094
                  62,            0.030287,           0.0058998,            0.001099,             0.89849,              0.9514,             0.96321,             0.97149,             0.61961,            0.026146,           0.0033608,          0.00090238,           0.0039757,           0.0039757,           0.0039757
                  63,            0.030229,           0.0056822,          0.00099741,             0.90212,              0.9529,              0.9685,             0.97553,             0.61752,            0.026281,           0.0033278,          0.00081021,           0.0038434,           0.0038434,           0.0038434
                  64,            0.029922,             0.00569,          0.00097776,             0.90045,              0.9438,             0.95488,             0.96693,             0.60383,            0.026419,           0.0033293,          0.00076954,           0.0037128,           0.0037128,           0.0037128
                  65,            0.030547,           0.0056219,          0.00096331,             0.90061,             0.95174,             0.94147,             0.96384,             0.62197,            0.025828,           0.0033489,          0.00082762,            0.003584,            0.003584,            0.003584
                  66,            0.029564,           0.0055609,            0.001008,             0.90293,             0.96499,             0.94335,             0.96241,             0.60889,            0.025624,           0.0033475,           0.0007932,            0.003457,            0.003457,            0.003457
                  67,             0.03043,           0.0058576,          0.00095224,             0.89956,             0.95628,             0.96093,             0.97537,             0.62252,             0.02606,           0.0033594,           0.0008206,           0.0033321,           0.0033321,           0.0033321
                  68,            0.029668,           0.0058048,           0.0010182,             0.90446,             0.97063,             0.95982,             0.98401,             0.61855,            0.025965,           0.0033407,          0.00081782,           0.0032093,           0.0032093,           0.0032093
                  69,            0.029392,           0.0057184,          0.00086709,             0.90649,             0.94533,             0.98377,             0.98365,             0.62685,            0.025708,           0.0032704,          0.00075534,           0.0030888,           0.0030888,           0.0030888
                  70,            0.028898,            0.005622,          0.00087358,             0.90684,             0.95196,             0.96255,             0.97243,             0.62358,             0.02576,           0.0032718,           0.0007173,           0.0029706,           0.0029706,           0.0029706
                  71,            0.029212,           0.0056794,          0.00089012,             0.90282,             0.95541,              0.9782,             0.97793,             0.61914,            0.025657,            0.003348,          0.00074154,            0.002855,            0.002855,            0.002855
                  72,            0.028614,           0.0056705,          0.00084996,              0.9057,             0.96686,              0.9749,             0.97879,              0.6312,            0.025234,           0.0032698,          0.00068562,           0.0027419,           0.0027419,           0.0027419
                  73,            0.029108,           0.0057198,          0.00087252,             0.90984,             0.95791,             0.97429,             0.97782,             0.62285,            0.025007,           0.0032855,          0.00068253,           0.0026316,           0.0026316,           0.0026316
                  74,             0.02832,           0.0055253,           0.0007973,             0.90908,             0.94742,             0.97473,             0.96945,             0.62713,            0.024963,           0.0032967,          0.00064718,           0.0025241,           0.0025241,           0.0025241
                  75,            0.027998,           0.0054861,           0.0008776,             0.90674,             0.93991,              0.9759,             0.97221,             0.63205,            0.024518,           0.0032857,          0.00064452,           0.0024195,           0.0024195,           0.0024195
                  76,            0.028186,           0.0057602,           0.0008736,             0.90687,             0.95523,             0.96951,              0.9737,             0.63938,            0.025108,           0.0033201,          0.00067722,            0.002318,            0.002318,            0.002318
                  77,            0.028113,           0.0056021,          0.00075962,             0.90505,             0.95067,             0.96878,             0.97797,             0.61967,            0.025581,            0.003325,          0.00067154,           0.0022196,           0.0022196,           0.0022196
                  78,              0.0279,           0.0054698,          0.00077637,             0.90377,             0.95237,             0.96558,             0.96611,              0.6158,            0.025387,           0.0033378,          0.00062665,           0.0021245,           0.0021245,           0.0021245
                  79,             0.02803,           0.0055736,          0.00079693,             0.90395,             0.96878,              0.9719,             0.97986,             0.61819,             0.02547,           0.0033175,          0.00060783,           0.0020327,           0.0020327,           0.0020327
                  80,            0.027306,           0.0054284,          0.00072452,             0.90771,             0.95449,             0.96346,             0.96454,             0.63814,            0.024815,           0.0032179,          0.00059422,           0.0019443,           0.0019443,           0.0019443
                  81,            0.027655,           0.0053538,            0.000714,             0.90681,             0.95173,             0.97338,              0.9713,             0.63351,            0.025004,           0.0032787,          0.00059601,           0.0018594,           0.0018594,           0.0018594
                  82,            0.027201,           0.0054554,           0.0007206,             0.91015,             0.93921,             0.97588,             0.97331,             0.64706,            0.024533,           0.0032747,          0.00060681,           0.0017781,           0.0017781,           0.0017781
                  83,            0.027487,           0.0054792,          0.00075848,             0.91139,              0.9507,             0.96922,             0.97343,             0.63623,            0.024292,           0.0032495,          0.00058957,           0.0017005,           0.0017005,           0.0017005
                  84,             0.02781,           0.0056172,           0.0006733,             0.90848,             0.94668,             0.96725,             0.97572,             0.62844,            0.025107,           0.0032642,          0.00054893,           0.0016267,           0.0016267,           0.0016267
                  85,            0.027322,           0.0052328,          0.00074431,             0.91246,             0.95992,             0.96546,             0.97311,             0.64238,            0.024061,            0.003234,          0.00054804,           0.0015566,           0.0015566,           0.0015566
                  86,            0.027384,            0.005499,          0.00069166,             0.91053,             0.95452,             0.97467,             0.97456,             0.63454,            0.024326,           0.0032348,          0.00055527,           0.0014905,           0.0014905,           0.0014905
                  87,            0.026986,           0.0055339,           0.0007352,             0.91292,              0.9598,             0.96793,              0.9689,             0.64619,            0.023935,           0.0032404,          0.00053751,           0.0014283,           0.0014283,           0.0014283
                  88,             0.02679,           0.0053767,          0.00075192,             0.91004,             0.95339,             0.96251,              0.9689,             0.62556,            0.024501,           0.0032046,          0.00051896,           0.0013701,           0.0013701,           0.0013701
                  89,            0.027265,           0.0053813,          0.00063381,             0.90518,             0.95062,             0.96779,             0.96758,             0.62672,            0.025036,           0.0032147,          0.00051368,            0.001316,            0.001316,            0.001316
                  90,            0.027402,           0.0056317,          0.00073088,              0.9078,             0.95216,             0.96933,             0.97216,             0.62918,            0.025095,           0.0032476,          0.00051205,            0.001266,            0.001266,            0.001266
                  91,            0.027233,           0.0054078,          0.00062665,             0.91298,             0.96022,             0.96462,             0.97585,             0.64255,            0.024127,           0.0032332,          0.00053312,           0.0012202,           0.0012202,           0.0012202
                  92,             0.02656,           0.0052918,          0.00068701,             0.91088,             0.95797,             0.96342,             0.96835,             0.64183,            0.024659,           0.0032411,          0.00051381,           0.0011787,           0.0011787,           0.0011787
                  93,            0.026835,           0.0053195,          0.00065196,             0.91328,              0.9626,             0.97268,             0.97759,             0.65151,            0.024073,           0.0032355,          0.00049057,           0.0011414,           0.0011414,           0.0011414
                  94,            0.026698,           0.0055116,          0.00058967,             0.90968,               0.956,             0.95676,             0.96339,             0.65268,            0.024272,           0.0032583,          0.00050521,           0.0011084,           0.0011084,           0.0011084
                  95,            0.026623,           0.0054211,          0.00069101,              0.9099,             0.95305,              0.9624,             0.96297,             0.64687,            0.024283,           0.0032286,          0.00049486,           0.0010797,           0.0010797,           0.0010797
                  96,             0.02609,           0.0054449,          0.00069459,             0.91276,             0.95434,             0.96132,             0.96902,             0.64172,             0.02399,           0.0032468,           0.0004935,           0.0010554,           0.0010554,           0.0010554
                  97,            0.026572,           0.0054814,          0.00066646,             0.91363,             0.96498,             0.97301,             0.97974,             0.64404,            0.023915,           0.0032562,          0.00048599,           0.0010355,           0.0010355,           0.0010355
                  98,             0.02599,           0.0054161,           0.0005904,             0.91452,             0.95522,              0.9756,             0.97859,             0.65341,             0.02418,           0.0032737,           0.0004604,             0.00102,             0.00102,             0.00102
                  99,            0.026328,           0.0053455,          0.00060648,             0.91207,             0.96762,               0.952,             0.97254,             0.63301,            0.024465,           0.0032591,          0.00045046,           0.0010089,           0.0010089,           0.0010089
